district,metro,area,rooms,floor,gk,price,adress
1.19,3,55.0,1,4,0,18000,"
ул. Никольско-Слободская, 3а, Киев
"
2.87,3,100.0,3,4,1,42100,"
Леси Украинки бульв., 7а, Киев
"
1.19,1,75.0,3,4,0,18000,"
ул. Смилянская, 10/31, Киев
"
2.87,3,85.0,2,4,0,40800,"
ул. Шелковичная, 32/34, Киев
"
1.74,3,72.0,2,4,1,22000,"
ул. Герцена, 35, Киев
"
2.87,3,165.0,3,4,0,81500,"
Кловский спуск, 7, Киев
"
2.87,3,55.0,1,4,0,20000,"
ул. Коновальца Евгения (Щорса), 36е, Киев
"
2.87,3,90.0,2,4,1,25000,"
ул. Тютюнника Василия (Барбюса Анри), 37/1, Киев
"
2.87,3,50.0,2,9,1,27200,"
ул. Предславинская, 57, Киев
"
1.74,3,80.0,3,6,0,32600,"
ул. Соляная, 70, Киев
"
1.74,3,68.0,2,5,0,35300,"
ул. Олеговская, 3, Киев
"
2.87,3,50.0,1,5,1,24500,"
ул. Джона Маккейна (Кудри Ивана), 1а, Киев
"
2.87,3,43.0,1,6,0,30000,"
ул. Тютюнника Василия (Барбюса Анри), 51/1, Киев
"
1.19,1,68.0,2,6,0,14000,"
ул. Курская, 13в, Киев
"
1.19,1,130.0,3,24,0,38000,"
ул. Соломенская, 15а, Киев
"
1.53,1,80.0,2,9,0,20000,"
Ясиноватский пер., 10, Киев
"
2.87,3,54.0,2,3,0,16000,"
ул. Тютюнника Василия (Барбюса Анри), 22/26, Киев
"
1.74,3,74.0,2,3,1,38000,"
Победы просп., 42, Киев
"
1.29,1,45.0,4,3,1,27200,"
ул. Набережно-Рыбальская, 9, Киев
"
1.29,1,65.0,2,4,0,19000,"
ул. Олеся Александра, 4а, Киев
"
2.87,3,55.0,2,6,0,38000,"
ул. Мазепы Ивана (Январского Восстания), 3, Киев
"
1.22,3,78.0,2,23,0,27200,"
Оболонский просп., 1, Киев
"
1.18,1,60.0,1,16,0,12000,"
ул. Обуховская, 137а, Киев
"
2.87,3,76.0,2,9,0,27200,"
ул. Рыбальская, 7, Киев
"
1.53,3,45.0,2,10,1,35300,"
ул. Антоновича (Горького), 74, Киев
"
2.87,3,77.0,2,6,0,29900,"
ул. Деловая (Димитрова), 2б, Киев
"
2.87,3,93.0,3,3,1,27200,"
ул. Коновальца Евгения (Щорса), 32г, Киев
"
2.87,3,70.0,2,14,1,95100,"
ул. Бусловская, 12, Киев
"
1.74,3,56.0,2,3,0,27200,"
ул. Олеговская, 3, Киев
"
2.87,3,128.5,3,5,1,54300,"
Леси Украинки бульв., 7б, Киев
"
2.87,3,75.0,2,4,1,46200,"
ул. Джона Маккейна (Кудри Ивана), 7, Киев
"
1.12,3,50.0,1,4,1,16000,"
ул. Заречная, 1в, Киев
"
2.87,3,70.0,3,3,0,13000,"
ул. Ковпака, 3, Киев
"
1.12,3,43.0,1,4,1,23400,"
ул. Заречная, 1г, Киев
"
1.12,1,50.0,1,4,0,10000,"
ул. Ахматовой, 30, Киев
"
1.19,1,34.0,1,3,0,6500,"
ул. Миропольская, 31, Киев
"
1.74,1,155.0,3,8,0,48900,"
ул. Владимирская, 49а, Киев
"
1.53,1,72.0,2,12,0,17000,"
Феодосийский пер., 14, Киев
"
1.74,1,37.0,1,5,0,21500,"
ул. Сечевых Стрельцов (Артема), 44а, Киев
"
1.0,1,94.0,3,10,0,15000,"
ул. Милославская, 12, Киев
"
2.87,3,82.0,2,4,1,48900,"
Леси Украинки бульв., 7в, Киев
"
1.22,1,130.0,3,4,0,40800,"
Героев Сталинграда просп., Киев
"
1.22,1,125.0,3,4,0,32600,"
Героев Сталинграда просп., Киев
"
1.53,3,68.0,2,4,1,59800,"
ул. Саксаганского, 37к, Киев
"
1.18,3,84.0,3,4,0,18000,"
Академика Палладина просп., 24, Киев
"
2.87,3,50.0,1,4,0,31200,"
ул. Тютюнника Василия (Барбюса Анри), Киев
"
1.22,1,56.0,2,4,1,25800,"
ул. Тимошенко Маршала, 21/19, Киев
"
1.53,3,60.0,2,4,1,42100,"
ул. Саксаганского, 37к, Киев
"
2.87,3,127.0,3,4,1,67900,"
ул. Коновальца Евгения (Щорса), 34а, Киев
"
1.22,1,95.0,2,4,0,32600,"
Героев Сталинграда просп., Киев
"
2.87,3,70.0,2,4,0,32600,"
Кловский спуск, Киев
"
1.19,1,32.0,1,4,0,7500,"
ул. Озерная (Соломенка), 12а, Киев
"
2.87,3,107.0,4,4,0,95100,"
Лабораторный пер., Киев
"
2.87,3,42.0,2,4,1,25800,"
ул. Джона Маккейна (Кудри Ивана), 1а, Киев
"
1.22,1,86.0,2,4,0,25800,"
Героев Сталинграда просп., Киев
"
